credit_score,country,gender,age,tenure,balance,products_number,credit_card,active_member,estimated_salary,churn,Credit_Category,ratio
550,Germany,Male,38,2.0,103391.38,1,0,1,90878.13,0,Bad,1.1376926439837616
776,Germany,Female,37,2.0,103769.22,2,1,0,194099.12,0,Good,0.5346197344944171
698,Germany,Male,44,10.0,116363.37,2,1,0,198059.16,0,Fair,0.5875182445487499
585,Germany,Male,36,5.0,146050.97,2,0,0,86424.57,0,Bad,1.6899241731836212
655,Germany,Male,41,8.0,125561.97,1,0,0,164040.94,1,Fair,0.7654306906556375
601,Germany,Male,42,1.0,98495.72,1,1,0,40014.76,1,Bad,2.4614847121412198
619,France,Male,43,1.0,125211.92,1,1,1,113410.49,0,Bad,1.1040594216637278
656,France,Male,45,5.0,127864.4,1,1,0,87107.57,0,Fair,1.4678907929586371
725,Germany,Male,19,0.0,75888.2,1,0,0,45613.75,0,Good,1.6637132443616234
742,Germany,Male,35,5.0,136857.0,1,0,0,84509.57,0,Good,1.619426060267494
687,Germany,Female,27,9.0,152328.88,2,0,0,126494.82,0,Fair,1.2042301811252034
555,Spain,Male,33,1.0,56084.69,2,0,0,178798.13,0,Bad,0.3136760434798731
684,Spain,Male,56,8.0,78707.16,1,1,1,99398.36,0,Fair,0.7918355997020474
603,Germany,Male,26,4.0,109166.37,1,1,1,92840.67,0,Bad,1.17584642592519
581,Germany,Female,34,1.0,101633.04,1,1,0,110431.51,0,Bad,0.9203264539260578
735,Germany,Male,43,10.0,123180.01,2,1,1,196673.28,0,Good,0.6263179726295305
661,Germany,Female,35,5.0,150725.53,2,0,1,113656.85,0,Fair,1.3261455864736704
657,Spain,Female,37,0.0,163607.18,1,0,1,44203.55,0,Fair,3.701222639358151
604,Germany,Female,25,5.0,157780.84,2,1,1,58426.81,0,Bad,2.7004869853411475
757,Spain,Male,33,5.0,77253.22,1,0,1,194239.63,0,Good,0.39772120653236415
416,Germany,Female,41,10.0,122189.66,2,1,0,98301.61,0,Bad,1.2430077187952466
665,France,Female,34,1.0,96645.54,2,0,0,171413.66,0,Fair,0.5638146924813343
506,France,Female,34,4.0,90307.62,1,1,1,159235.29,0,Bad,0.5671332026964625
750,Spain,Male,22,3.0,121681.82,1,1,0,128643.35,1,Good,0.945885037975146
635,Germany,Female,28,3.0,81623.67,2,1,1,156791.36,0,Bad,0.520587805348458
808,France,Male,45,7.0,118626.55,2,1,0,147132.46,0,Good,0.8062568246327154
515,Spain,Male,35,10.0,176273.95,1,0,1,121277.78,0,Bad,1.453472763106317
773,Spain,Male,41,9.0,102827.44,1,0,1,64595.25,0,Good,1.5918730866433677
814,Germany,Male,29,8.0,97086.4,2,1,1,197276.13,0,Good,0.4921345527205952
738,France,Male,31,9.0,82674.15,1,1,0,41970.72,0,Good,1.9698053786068
622,Spain,Female,46,4.0,107073.27,2,1,1,30984.59,1,Bad,3.4556942660851733
785,Germany,Female,36,2.0,99806.85,1,0,1,36976.52,0,Good,2.699195327196827
605,Spain,Male,33,5.0,150092.8,1,0,0,71862.79,0,Bad,2.0886024603275213
479,Germany,Male,35,9.0,92833.89,1,1,0,99449.86,1,Bad,0.933474315599841
685,Germany,Male,30,3.0,90536.81,1,0,1,63082.88,0,Fair,1.435204131453732
538,Germany,Male,39,7.0,108055.1,2,1,0,27231.26,0,Bad,3.968053626604131
562,France,Male,42,2.0,100238.35,1,0,0,86797.41,0,Bad,1.154854159818824
675,Spain,Male,36,9.0,106190.55,1,0,1,22994.32,0,Fair,4.618120909859479
721,Germany,Male,28,9.0,154475.54,2,0,1,101300.94,1,Good,1.524917142920885
628,Germany,Female,30,9.0,132351.29,2,1,1,74169.13,0,Bad,1.7844525073976194
668,Germany,Female,37,6.0,167864.4,1,1,0,115638.29,0,Fair,1.4516333646926118
524,Germany,Female,31,8.0,107818.63,1,1,0,199725.39,1,Bad,0.5398343695811534
699,Germany,Male,34,4.0,185173.81,2,1,0,120834.48,0,Fair,1.5324583678433508
828,France,Male,34,8.0,129433.34,2,0,0,38131.77,0,Good,3.394370101361673
674,Spain,Male,39,6.0,120193.42,1,0,0,100130.95,0,Fair,1.2003623255347122
684,Germany,Female,48,10.0,126384.42,1,1,1,198129.36,0,Fair,0.6378883977619471
432,France,Male,42,9.0,152603.45,1,1,0,110265.24,1,Bad,1.3839669691010512
625,Germany,Male,56,0.0,148507.24,1,1,0,46824.08,1,Bad,3.17159974098797
770,France,Male,24,9.0,101827.07,1,1,0,167256.35,0,Good,0.6088083950175883
795,Germany,Female,33,9.0,130862.43,1,1,1,114935.21,0,Good,1.138575637526568
687,France,Male,38,9.0,122570.87,1,1,1,35608.88,0,Fair,3.442143364239482
789,Germany,Male,39,7.0,124828.46,2,1,1,124411.08,0,Good,1.003354845886717
589,Germany,Female,50,5.0,144895.05,2,1,1,34941.23,0,Bad,4.146821677428069
461,Germany,Female,34,5.0,63663.93,1,0,1,167784.28,0,Bad,0.3794391822642741
637,France,Male,40,2.0,133463.1,1,0,1,93165.34,0,Bad,1.4325402558505127
756,Germany,Male,44,10.0,137452.09,1,1,0,189543.9,0,Good,0.7251728491394341
682,France,Female,43,5.0,125851.93,1,1,1,193318.33,0,Fair,0.6510087791468093
485,Spain,Female,21,5.0,113157.22,1,1,1,54141.5,0,Bad,2.090027428128146
635,Spain,Female,29,8.0,138296.94,2,1,0,141075.51,0,Bad,0.9803043774217084
650,France,Male,37,5.0,106967.18,1,0,0,24495.03,0,Fair,4.36689320241698
735,France,Male,44,9.0,120681.63,1,1,0,74836.34,0,Good,1.612607324195705
539,France,Male,37,2.0,127609.59,1,1,0,98646.22,0,Bad,1.293608513331783
631,Germany,Female,33,4.0,123246.7,1,0,0,112687.57,0,Bad,1.0937027038563347
717,Spain,Female,22,6.0,101060.25,1,0,1,84699.56,0,Fair,1.1931614520783815
800,France,Female,49,7.0,108007.36,1,0,0,47125.11,0,Good,2.2919280188417597
683,Spain,Male,29,0.0,133702.89,1,1,0,55582.54,1,Fair,2.405483628491969
660,Germany,Male,31,9.0,125189.75,2,1,1,139874.43,0,Fair,0.8950152647628306
704,Germany,Female,24,7.0,113034.22,1,1,0,162503.48,1,Fair,0.6955803038802615
615,Spain,Female,41,9.0,109013.23,1,1,0,196499.96,0,Bad,0.554774820310396
682,Germany,Male,24,9.0,57929.81,2,0,0,53134.3,0,Fair,1.0902526240112318
484,France,Female,29,4.0,130114.39,1,1,0,164017.89,0,Bad,0.7932938900750399
628,Germany,Male,27,5.0,95826.49,2,1,0,155996.96,0,Bad,0.6142843424641096
578,France,Male,30,4.0,169462.09,1,1,0,112187.11,0,Bad,1.5105308444080607
606,Germany,Male,36,5.0,190479.48,2,0,0,179351.89,0,Bad,1.0620433383779786
597,Spain,Female,40,8.0,101993.12,1,0,1,94774.12,0,Bad,1.0761705832773758
778,Germany,Female,45,1.0,162150.42,2,1,0,174531.27,0,Good,0.929062282077017
730,France,Female,39,1.0,99010.67,1,1,0,194945.8,0,Good,0.507888192512996
687,Germany,Female,34,7.0,111388.18,2,1,0,148564.76,0,Fair,0.7497617873848413
715,France,Female,41,8.0,56214.85,2,0,0,92982.61,1,Fair,0.6045738014882568
601,France,Male,32,8.0,93012.89,1,1,0,86957.42,0,Bad,1.0696371856478724
580,Spain,Male,29,9.0,61710.44,2,1,0,128077.8,0,Bad,0.48181995630780666
721,Germany,Male,37,3.0,107720.64,1,1,1,158591.12,0,Good,0.6792350038261915
759,France,Male,42,4.0,105420.18,1,0,1,121409.06,0,Good,0.8683057096397913
512,Spain,Male,33,3.0,176666.62,1,1,0,94670.77,0,Bad,1.8661158032199379
608,Spain,Female,41,3.0,89763.84,1,0,0,199304.74,1,Bad,0.4503848729337797
618,France,Male,34,5.0,134954.53,1,1,1,151954.39,0,Bad,0.8881252460030934
671,France,Male,45,2.0,106376.85,1,0,1,158264.62,0,Fair,0.6721454864643785
689,Germany,Male,33,2.0,161814.64,2,1,0,169381.9,0,Fair,0.9553242701847129
676,France,Female,34,1.0,63095.01,1,1,1,40645.81,0,Fair,1.5523127722144054
572,Germany,Male,26,4.0,118287.01,2,0,0,60427.3,0,Bad,1.9575094369597845
668,Germany,Male,47,7.0,106854.21,1,0,1,157959.02,1,Fair,0.6764679218698623
695,France,Male,46,7.0,49512.55,1,1,0,133007.34,0,Fair,0.37225426807272444
807,France,Male,43,1.0,105799.32,2,1,0,34888.04,1,Good,3.0325383713157863
726,France,Female,31,9.0,114722.05,2,1,1,98178.57,0,Good,1.1685039820808145
671,Germany,Male,45,6.0,99564.22,1,1,1,108872.45,1,Fair,0.9145033477247918
670,France,Male,37,4.0,170557.91,2,1,0,198252.88,0,Fair,0.8603048288630157
547,Germany,Female,39,6.0,74596.15,3,1,1,85746.52,1,Bad,0.8699612532380322
751,Germany,Male,50,2.0,96888.39,1,1,0,77206.25,1,Good,1.2549293612887558
594,Germany,Female,29,3.0,130830.22,1,1,0,61048.53,0,Bad,2.1430527483626554
767,Germany,Male,20,3.0,119714.25,2,0,1,150135.38,0,Good,0.7973753421745094
763,Germany,Male,42,6.0,100160.75,1,1,0,33462.94,1,Good,2.9931844004143087
539,Germany,Female,43,3.0,116220.5,3,1,0,55803.96,1,Bad,2.0826568580437663
703,France,Male,28,2.0,81173.83,2,0,1,162812.16,0,Fair,0.49857350949707935
725,Germany,Female,39,5.0,116803.8,1,1,0,124052.97,0,Good,0.9415639141892371
703,France,Male,37,8.0,105961.68,2,0,1,74158.8,0,Fair,1.4288483632421236
635,France,Female,40,10.0,123497.58,1,1,0,131953.23,1,Bad,0.9359193405117858
772,Germany,Male,26,7.0,152400.51,2,1,0,79414.0,0,Good,1.9190635152492006
634,Germany,Male,24,8.0,103097.85,1,1,1,157577.29,0,Bad,0.6542684545469718
739,Germany,Male,54,8.0,126418.14,1,1,0,134420.75,1,Good,0.9404659622863285
771,Germany,Female,36,5.0,77846.9,1,0,0,99805.99,0,Good,0.7799822435507127
544,Germany,Male,37,2.0,79731.91,1,1,1,57558.95,0,Bad,1.3852217596047185
693,France,Female,30,6.0,127992.25,1,1,1,50457.2,0,Fair,2.536649873556202
850,Germany,Male,38,3.0,54901.01,1,1,1,140075.55,0,Good,0.39193856458175613
732,Germany,Male,42,9.0,108748.08,2,1,1,65323.11,0,Good,1.664771931403756
726,Spain,Female,48,6.0,99906.19,1,1,0,64323.24,0,Good,1.5531896403228445
682,France,Female,26,0.0,110654.02,1,0,1,111879.21,0,Fair,0.9890489931060471
738,Spain,Male,31,9.0,79019.8,1,1,1,18606.23,0,Good,4.246953842879509
531,Spain,Female,36,9.0,99240.51,1,1,0,123137.01,0,Bad,0.80593568091348
791,Germany,Female,35,7.0,52436.2,1,1,0,161051.75,0,Good,0.32558603057712815
733,Germany,Male,34,3.0,100337.96,3,1,0,48559.19,1,Good,2.0663021767867216
811,Germany,Female,34,1.0,149297.19,2,1,1,186339.74,0,Good,0.8012096077841474
712,Germany,Male,28,4.0,145605.44,1,0,1,93883.53,0,Fair,1.5509156930933468
646,France,Male,35,6.0,84026.86,1,0,1,164255.69,0,Bad,0.5115613346484374
479,Germany,Male,35,4.0,138718.92,1,1,1,47251.79,1,Bad,2.9357389423765747
807,France,Male,42,7.0,118274.71,1,1,1,25885.72,0,Good,4.569110304832162
799,France,Female,22,8.0,174185.98,2,0,1,192633.85,0,Good,0.9042334979028868
675,France,Male,40,7.0,113208.86,2,1,0,34577.36,0,Fair,3.274074712470819
602,Spain,Male,29,5.0,103907.28,1,1,0,161229.84,0,Bad,0.6444668058964768
475,France,Female,32,8.0,119023.28,1,1,0,100816.29,0,Bad,1.1805957152360993
744,Spain,Female,26,5.0,166297.89,1,1,1,181694.44,0,Good,0.915261303537962
703,Germany,Male,42,9.0,63227.0,1,0,1,137316.32,0,Fair,0.4604478185841275
747,Spain,Female,41,5.0,94521.17,2,1,0,194926.86,0,Good,0.48490582570303553
750,Spain,Female,34,9.0,112822.26,1,0,0,150401.53,1,Good,0.7501403742368844
773,France,Male,25,2.0,135903.33,1,1,0,73656.38,0,Good,1.8450992296933406
714,France,Female,31,4.0,125169.26,1,1,1,106636.89,0,Fair,1.1737894831704112
511,France,Male,58,0.0,149117.31,1,1,1,162599.51,0,Bad,0.9170833909647083
553,France,Male,33,4.0,118082.89,1,0,0,94440.45,0,Bad,1.2503423056539862
667,France,Male,31,1.0,119266.69,1,1,1,28257.63,0,Fair,4.220689774761719
614,France,Male,50,4.0,137104.47,1,1,0,127166.49,1,Bad,1.0781493615181168
438,Germany,Male,31,8.0,78398.69,1,1,0,44937.01,0,Bad,1.7446352127121942
729,Germany,Male,30,6.0,63669.42,1,1,0,145111.37,0,Good,0.4387624484559687
806,Germany,Female,59,0.0,135296.33,1,1,0,182822.5,0,Good,0.7400420079585389
744,Spain,Male,36,2.0,153804.44,1,1,1,87213.33,0,Good,1.7635427978727565
559,France,Male,49,2.0,147069.78,1,1,0,120540.83,1,Bad,1.2200826889942602
429,France,Male,24,4.0,95741.75,1,1,0,46170.75,0,Bad,2.0736451108114986
525,Spain,Female,57,2.0,145965.33,1,1,1,64448.36,0,Bad,2.264841649965957
749,France,Male,40,1.0,139290.41,1,1,0,182855.42,1,Good,0.7617516068159205
716,France,Male,35,4.0,144428.87,1,1,0,134132.65,0,Fair,1.0767614745552259
644,France,Female,46,9.0,95441.27,1,1,0,108761.05,1,Bad,0.8775317082724008
671,Germany,Male,35,1.0,144848.74,1,1,1,179012.3,0,Fair,0.8091552368189225
664,Germany,Male,26,7.0,116244.14,2,1,1,95145.14,0,Fair,1.221755940450558
663,Germany,Male,44,2.0,117028.6,2,0,1,144680.18,0,Fair,0.8088778988248426
584,Germany,Female,30,8.0,112013.81,1,1,0,177772.03,1,Bad,0.6300980531076795
485,France,Male,29,7.0,182123.79,1,1,0,116828.51,1,Bad,1.5588985085917815
659,Germany,Female,32,3.0,150923.74,2,0,1,174652.51,0,Fair,0.8641372517348876
716,Germany,Female,39,10.0,115301.31,1,1,0,43527.4,1,Fair,2.648936302191263
642,Germany,Female,40,6.0,129502.49,2,0,1,86099.23,1,Bad,1.504107411878132
659,France,Male,31,4.0,118342.26,1,0,0,161574.19,0,Fair,0.7324329461283389
630,Germany,Female,34,9.0,106937.05,2,1,0,138275.01,0,Bad,0.7733649775183528
654,Germany,Female,32,1.0,114510.85,1,1,1,126143.23,0,Fair,0.907784349584199
659,Spain,Male,32,3.0,107594.11,2,1,1,102416.84,0,Fair,1.0505509640797355
762,Spain,Male,39,2.0,81273.13,1,1,1,18719.67,0,Good,4.341589889138004
568,Spain,Female,32,7.0,169399.6,1,1,0,61936.22,0,Bad,2.7350652009438097
613,France,Female,45,1.0,187841.99,2,1,1,147224.27,0,Bad,1.2758901096945496
850,Spain,Female,57,8.0,126776.3,2,1,1,132298.49,0,Good,0.9582596143009645
522,Spain,Male,34,9.0,126436.29,1,1,0,174248.52,1,Bad,0.7256089750432314
737,France,Male,41,1.0,101960.74,1,1,1,123547.28,0,Good,0.825277092300211
648,France,Female,50,9.0,102535.57,1,1,1,189543.19,0,Bad,0.5409615085617162
540,Germany,Female,42,9.0,87271.41,2,1,0,172572.64,0,Bad,0.5057082629088828
460,Germany,Female,35,8.0,102742.91,2,1,1,189339.6,0,Bad,0.5426382542267967
593,France,Female,29,2.0,152265.43,1,1,0,34004.44,0,Bad,4.477810250661384
611,Germany,Male,31,0.0,107884.81,2,1,1,183487.98,0,Bad,0.5879666341086757
802,Germany,Male,31,1.0,125013.72,1,1,1,187658.09,0,Good,0.6661781541099561
717,Germany,Male,35,7.0,58469.37,2,1,1,172459.39,0,Fair,0.33903268473812875
745,Germany,Male,45,10.0,117231.63,3,1,1,122381.02,1,Good,0.957923295622148
572,Spain,Male,35,4.0,152390.26,1,1,0,128123.66,0,Bad,1.189399834503635
690,France,Male,36,7.0,101583.11,2,1,0,123775.15,0,Fair,0.820706822007487
492,Germany,Female,30,10.0,77168.87,2,0,1,146700.22,0,Bad,0.5260310448068858
709,Germany,Male,28,8.0,124695.72,2,1,0,145251.35,0,Fair,0.8584823480126001
705,Germany,Male,44,3.0,105934.96,1,1,0,82463.69,0,Fair,1.2846255121496504
712,Germany,Female,29,7.0,147199.07,1,1,1,84932.4,0,Fair,1.733132114481635
752,Germany,Male,38,3.0,183102.29,1,1,1,71557.12,0,Good,2.5588269902422014
648,Spain,Male,46,9.0,127209.0,2,1,0,77405.95,1,Bad,1.6434007980006706
594,Spain,Female,24,0.0,97378.54,1,1,1,71405.17,0,Bad,1.3637463505793768
645,Germany,Female,37,2.0,136925.09,2,0,1,153400.24,0,Bad,0.8926002332199742
547,Germany,Male,32,8.0,155726.85,1,1,0,67789.99,0,Bad,2.2971953528832207
605,France,Male,52,1.0,63349.75,1,1,0,108887.44,0,Bad,0.5817911597517583
593,Germany,Female,38,4.0,129499.42,1,1,1,154071.27,0,Bad,0.8405163402625292
443,Spain,Male,36,6.0,70438.01,2,0,1,56937.43,0,Bad,1.237112563738827
538,Spain,Female,49,9.0,141434.04,1,0,0,173779.25,1,Bad,0.8138718517889795
668,Germany,Male,37,10.0,152958.29,2,1,1,159585.61,0,Fair,0.958471694283714
537,Germany,Female,41,3.0,138306.34,1,1,0,106761.47,0,Bad,1.2954705475673949
745,Spain,Female,31,3.0,124328.84,1,1,1,140451.52,0,Good,0.8852082198896816
693,Germany,Female,41,9.0,181461.48,3,1,1,187929.43,1,Fair,0.9655830914827976
556,France,Female,39,9.0,89588.35,1,1,1,94898.1,0,Bad,0.9440478787246531
756,Germany,Female,60,3.0,115924.89,1,1,0,93524.19,1,Good,1.2395177119416911
648,France,Male,26,9.0,162923.85,1,1,0,98368.24,0,Bad,1.6562647659447804
492,Germany,Male,39,10.0,124576.65,2,1,0,148584.61,0,Bad,0.8384222968987165
702,France,Male,45,0.0,80793.58,1,1,1,27474.81,0,Fair,2.9406419917007613
486,Germany,Female,40,9.0,71340.09,1,1,0,76192.21,0,Bad,0.9363173741777537
568,Germany,Male,40,1.0,99282.63,1,0,0,134600.94,1,Bad,0.73760725593744
619,Germany,Male,57,3.0,137946.39,1,1,1,72467.99,1,Bad,1.9035492774119995
724,Germany,Male,41,2.0,127892.57,2,0,1,199645.45,0,Good,0.6405984709393577
548,Germany,Female,33,0.0,101084.36,1,1,0,42749.85,0,Bad,2.3645547294317995
545,Germany,Female,37,8.0,114754.08,1,1,0,136050.44,1,Bad,0.8434671729102824
762,France,Female,51,3.0,99286.98,1,0,1,85578.63,0,Good,1.1601842656279961
627,Germany,Female,30,4.0,79871.02,2,1,0,129826.89,0,Bad,0.6152116868855135
516,France,Male,35,10.0,104088.59,2,0,0,119666.0,0,Bad,0.8698259321778952
800,France,Female,38,2.0,168190.33,2,1,0,68052.08,0,Good,2.471494331988089
464,Germany,Female,42,3.0,85679.25,1,1,1,164104.74,0,Bad,0.5221010069544609
534,France,Female,34,7.0,121551.58,2,1,1,70179.0,0,Bad,1.73202211487767
745,France,Male,46,2.0,122220.19,1,1,1,118024.1,0,Good,1.0355528235334985
553,Spain,Male,47,3.0,116528.15,1,0,0,145704.19,1,Bad,0.7997584009080315
748,France,Female,26,1.0,77780.29,1,0,1,183049.41,0,Good,0.4249141802751508
501,France,Male,40,4.0,125832.2,1,1,1,100433.83,0,Bad,1.2528866020543077
675,France,Female,38,6.0,68065.8,1,0,0,138777.0,1,Fair,0.49046888173112263
778,Spain,Female,47,6.0,127299.34,2,1,0,124694.99,0,Good,1.020885762932416
494,Germany,Female,38,7.0,174937.64,1,1,0,40084.32,0,Bad,4.364241179593417
592,Spain,Male,31,7.0,110071.1,1,0,0,43921.36,0,Bad,2.5060949843083185
590,Spain,Female,44,3.0,139432.37,1,1,0,62222.81,0,Bad,2.2408562069119027
758,France,Female,39,6.0,127357.76,1,0,1,56577.0,0,Good,2.2510518408540574
514,Germany,Male,43,1.0,95556.31,1,0,1,199273.98,1,Bad,0.4795222637697104
468,Germany,Male,29,1.0,111681.98,2,1,1,195711.16,0,Bad,0.5706469677048565
509,Spain,Female,25,3.0,108738.71,2,1,0,106920.57,0,Bad,1.017004585740611
662,France,Female,32,4.0,133950.37,1,1,1,48725.68,1,Fair,2.749071331585316
608,France,Male,33,9.0,89968.69,1,1,0,68777.26,0,Bad,1.3081168107016767
816,Germany,Female,38,5.0,130878.75,3,1,0,71905.77,1,Good,1.8201425282004489
631,Spain,Male,27,10.0,134169.62,1,1,1,176730.02,0,Bad,0.75917843499367
774,France,Male,26,2.0,93844.69,1,1,0,28415.36,0,Good,3.302604295704858
621,Germany,Male,46,6.0,141078.37,1,0,0,34580.8,1,Bad,4.079673402581779
605,Germany,Female,31,1.0,117992.59,1,1,1,183598.77,0,Bad,0.6426654710159551
611,France,Female,40,8.0,100812.33,2,1,0,147358.27,0,Bad,0.6841307922521078
658,France,Male,29,4.0,80262.6,1,1,1,20612.82,0,Fair,3.8938194773931953
788,Spain,Male,34,6.0,156478.62,1,0,1,181196.76,0,Good,0.8635839846142943
486,Germany,Male,37,9.0,115217.99,2,1,0,144995.33,0,Bad,0.794632420230362
730,France,Female,35,0.0,155470.55,1,1,1,53718.28,0,Good,2.8941833208360355
714,Germany,Female,55,9.0,180075.22,1,1,1,100127.71,0,Fair,1.7984553926180873
591,Spain,Male,29,1.0,97541.24,1,1,1,196356.17,0,Bad,0.4967566845493065
639,France,Female,38,4.0,81550.94,2,0,1,118974.77,0,Bad,0.6854473431635968
673,France,Female,38,2.0,170061.92,2,0,0,134901.34,1,Fair,1.2606392197438514
765,Germany,Male,36,8.0,92310.54,2,1,1,72924.56,0,Good,1.2658360914347648
622,France,Female,32,6.0,169089.38,2,1,0,101057.95,0,Bad,1.6731922624593119
806,France,Male,40,5.0,80613.93,1,1,1,142838.64,0,Good,0.5643706072810549
757,Germany,Male,26,8.0,121581.56,2,1,1,127059.04,0,Good,0.9568902771498983
774,France,Male,60,5.0,85891.55,1,1,0,74135.48,1,Good,1.1585754890910533
638,Spain,Male,44,9.0,77637.35,2,1,1,111346.22,0,Bad,0.6972607601766814
684,Germany,Female,40,6.0,137326.65,1,1,0,186976.6,0,Fair,0.7344590178664068
524,Germany,Female,31,10.0,67238.98,2,1,1,161811.23,0,Bad,0.41553963837985775
632,Germany,Female,38,6.0,86569.76,2,1,0,98090.91,0,Bad,0.8825462012738998
605,France,Female,51,3.0,136188.78,1,1,1,67110.59,1,Bad,2.0293187707037
779,Germany,Male,37,7.0,120092.52,2,1,0,135925.72,0,Good,0.8835157908304624
698,France,Male,48,4.0,101238.24,2,0,1,177815.87,1,Fair,0.5693431075640212
707,France,Male,58,6.0,89685.92,1,0,1,126471.13,0,Fair,0.7091414459568757
850,France,Male,56,7.0,131317.48,1,1,1,119175.45,0,Good,1.101883651372829
527,Spain,Male,37,5.0,93722.73,2,1,1,139093.73,0,Bad,0.6738098834505336
696,Germany,Male,32,8.0,101160.99,1,1,1,115916.55,0,Fair,0.8727053211987417
661,France,Male,48,3.0,120320.54,1,0,0,96463.25,0,Fair,1.2473199897370242
572,Germany,Female,48,3.0,152827.99,1,1,0,38411.79,1,Bad,3.9786739956664343
673,France,Male,30,1.0,64097.75,1,1,1,77783.35,0,Fair,0.8240548909246002
519,Spain,Female,57,2.0,119035.35,2,1,1,29871.79,0,Bad,3.9848750275761846
702,Spain,Female,26,4.0,135219.57,1,0,1,59747.63,0,Fair,2.263178807259803
729,France,Male,32,6.0,93694.42,1,1,1,79919.13,0,Good,1.1723653648381807
543,Spain,Male,35,10.0,59408.63,1,1,0,76773.53,0,Bad,0.7738165745407304
550,France,Female,40,7.0,114354.95,1,1,0,54018.93,0,Bad,2.116942153426586
639,Germany,Male,35,10.0,128173.9,2,1,0,59093.39,0,Bad,2.1690057043605044
745,Germany,Female,28,1.0,111071.36,1,1,0,73275.96,1,Good,1.5157953577134984
833,France,Male,37,8.0,151226.18,2,1,1,136129.49,0,Good,1.1108994825441572
597,France,Female,42,4.0,64740.12,1,1,1,106841.12,0,Bad,0.6059475977039552
721,Spain,Male,51,0.0,169312.13,1,1,0,109078.35,1,Good,1.5522065561131058
842,Spain,Female,44,2.0,112652.08,2,1,0,126644.98,0,Good,0.8895108199314335
479,Germany,Female,30,7.0,143964.36,2,1,0,41879.99,0,Bad,3.4375452334157672
508,France,Male,49,7.0,122451.46,2,1,1,75808.1,0,Bad,1.6152820081231425
721,Germany,Female,36,3.0,65253.07,2,1,0,28737.78,0,Good,2.27063711949914
685,Spain,Female,25,10.0,128509.63,1,1,0,121562.33,0,Fair,1.0571501056289394
574,Germany,Male,33,3.0,129834.67,1,1,0,193131.42,0,Bad,0.6722607331318746
590,Spain,Female,51,3.0,154962.99,3,0,1,191932.27,1,Bad,0.8073837192672186
587,Germany,Male,40,5.0,138241.9,2,1,0,159418.1,0,Bad,0.8671656480663111
598,Germany,Male,41,3.0,91536.93,1,1,0,191468.78,1,Bad,0.4780775748401384
584,Germany,Female,29,7.0,105204.01,1,0,1,138490.03,0,Bad,0.759650423933044
650,Spain,Male,61,1.0,152968.73,1,0,1,82970.69,0,Fair,1.8436477989998639
607,Spain,Male,36,8.0,158261.68,1,1,1,76744.72,0,Bad,2.0621833006883077
737,Germany,Male,31,5.0,121192.22,2,1,1,74890.58,0,Good,1.6182571960318641
601,France,Male,44,1.0,100486.18,2,1,1,62678.53,0,Bad,1.6031993730548562
745,France,Male,35,9.0,92566.53,2,1,0,161519.77,0,Good,0.5730972128055903
848,Spain,Male,40,3.0,110929.96,1,1,1,30876.84,0,Good,3.5926590933528173
439,Spain,Female,32,3.0,138901.61,1,1,0,75685.97,0,Bad,1.8352359096408486
755,France,Male,30,4.0,123217.66,2,0,1,144183.1,0,Good,0.8545915575403775
